#{"t_start": 1772874617.7311068, "env_id": "None"}
r,l,t
6.550001,47,33.051439
-35.560678,47,33.093887
-11.859276,47,33.134981
7.800001,47,33.175764
2.450001,47,33.2176
5.300001,47,33.258548
7.750001,47,33.29954
1.088225,47,33.340276
2.100002,47,33.38143
3.100001,47,33.439209
-26.072994,47,33.479926
11.150001,47,33.520021
7.250001,47,33.560291
14.600001,47,33.601017
12.900001,47,33.641821
-20.808414,47,33.682204
-2.793039,47,33.724178
11.950002,47,34.95398
8.050001,47,34.996005
-9.846077,47,35.039078
5.450002,47,35.083719
11.850001,47,35.124803
12.600001,47,35.166322
1.250001,47,35.209949
0.650002,47,35.251388
0.450001,47,35.292584
7.900001,47,35.333256
14.400001,47,35.374104
3.650001,47,35.419574
-37.822993,47,35.471614
6.300001,47,35.529528
11.050001,47,35.570907
11.150001,47,35.612272
6.100001,47,35.653666
8.750001,47,35.695271
15.500001,47,35.740235
5.450002,47,35.790195
10.550001,47,35.836911
12.850001,47,35.877706
11.600001,47,35.918643
6.850002,47,35.96124
19.850001,47,36.002623
5.050002,47,36.044716
6.300002,47,36.087337
8.900001,47,36.12834
11.850001,47,36.169022
9.150001,47,36.211085
8.950001,47,36.251766
4.938224,47,36.293157
14.050001,47,36.334685
5.100001,47,36.376025
15.350001,47,36.424115
10.950001,47,36.467054
3.600001,47,36.508739
6.300001,47,36.559326
10.350002,47,36.600519
8.250001,47,36.642292
8.200001,47,36.683379
-2.061776,47,36.724839
6.500001,47,36.76641
6.800002,47,36.808452
10.450001,47,38.057403
19.800002,47,38.102504
3.400002,47,38.143502
14.300002,47,38.186061
14.550001,47,38.228296
15.250001,47,38.269769
-21.94643,47,38.311506
15.600001,47,38.352086
15.650001,47,38.393417
12.600001,47,38.440153
10.850001,47,38.482727
18.000001,47,38.524118
7.150001,47,38.565286
12.050001,47,38.614975
11.400001,47,38.658902
11.350001,47,38.700027
15.900001,47,38.741685
9.200001,47,38.783934
13.750001,47,38.825598
15.400001,47,38.866585
13.450001,47,38.907686
7.450001,47,38.95154
10.400001,47,39.000261
14.700001,47,39.048306
11.900001,47,39.09264
9.800001,47,39.141925
7.950001,47,39.190409
8.550001,47,39.239256
14.700001,47,39.287503
7.900001,47,39.336912
9.400001,47,39.384875
12.250001,47,39.438828
11.900001,47,39.482881
14.200001,47,39.523829
10.800001,47,39.565602
15.850001,47,39.60725
17.750001,47,39.65933
8.500001,47,39.703225
6.500001,47,39.744606
13.600001,47,39.791542
16.600001,47,39.833472
7.800001,47,39.876716
8.900001,47,39.918931
23.850001,47,41.134481
7.650001,47,41.176334
16.100001,47,41.220136
10.350001,47,41.262276
15.350002,47,41.303746
21.200001,47,41.344541
16.450001,47,41.386533
19.300002,47,41.432813
12.900002,47,41.474144
13.100001,47,41.514958
19.400001,47,41.55517
17.050002,47,41.595175
20.700001,47,41.636033
15.350001,47,41.676239
20.200001,47,41.722247
15.050001,47,41.768064
9.000001,47,41.809273
8.450002,47,41.85036
18.700001,47,41.890607
20.350002,47,41.930755
15.750001,47,41.971843
24.250001,47,42.013503
14.900001,47,42.053928
7.933828,47,42.095483
10.200001,47,42.136565
14.000002,47,42.181562
14.600001,47,42.224345
16.000001,47,42.265574
12.400001,47,42.306797
9.400001,47,42.347131
18.950001,47,42.387419
13.100002,47,42.434445
17.550002,47,42.475526
17.800001,47,42.516414
10.350002,47,42.556927
13.250002,47,42.597553
8.398118,47,42.63895
5.788225,47,42.683142
8.500001,47,42.741326
15.300002,47,43.0701
15.350001,47,43.236563
19.950001,47,43.286771
22.650001,47,43.3365
16.000002,47,43.385067
19.000001,47,45.876763
18.750002,47,45.925086
14.150002,47,45.974481
9.500001,47,46.031583
22.400002,47,46.085185
21.500001,47,46.136322
8.913714,47,46.184437
21.550002,47,46.233231
22.200002,47,46.281477
23.600001,47,46.33005
1.606495,47,46.378833
19.800001,47,46.42978
20.986128,47,46.477472
15.100002,47,46.527648
18.500001,47,46.575416
17.400001,47,46.622741
24.400001,47,46.670294
23.150001,47,46.717863
22.650001,47,46.76683
23.800001,47,46.820505
11.950001,47,46.875978
20.800002,47,46.933853
15.450002,47,46.983578
20.400001,47,47.036222
17.400001,47,47.094193
26.100001,47,47.180695
10.000002,47,47.2438
23.850002,47,47.29794
22.150001,47,47.349271
19.450001,47,47.406651
22.250001,47,47.461869
16.950001,47,47.51427
19.150001,47,47.569429
18.900001,47,47.623182
15.250002,47,47.664551
12.700001,47,47.706219
15.350001,47,47.747273
18.85253,47,47.790344
16.500001,47,47.832413
13.950002,47,47.874106
21.550001,47,47.917945
20.000001,47,47.962516
23.650001,47,48.004165
17.950001,47,49.202936
24.050002,47,49.251927
17.400002,47,49.298095
24.200001,47,49.339569
-2.757127,47,49.382335
22.300001,47,49.431816
22.600001,47,49.47367
24.300001,47,49.515348
25.72541,47,49.559087
23.450002,47,49.600403
25.850002,47,49.642024
16.400001,47,49.68396
16.800002,47,49.72654
22.500001,47,49.769061
17.702057,47,49.811461
19.850001,47,49.859902
